batch_id,batch_template,batch_anchor_date,batch_size,intent_file,settlement_truth_file,settlement_replay_file,expected_leakage_rate,expected_total_leakage_amount,expected_unmatched_amount,expected_under_settlement_amount,expected_reversal_amount,scenario_family_counts_json
LEAK_BATCH_001,control_clean,2026-05-04,197,batches\LEAK_BATCH_001\intent.csv,batches\LEAK_BATCH_001\settlement_truth.xlsx,batches\LEAK_BATCH_001\settlement_replay.xlsx,0.00,0.00,0.00,0.00,0.00,"{""clean"": 118, ""clean_delay"": 49, ""ref_stress"": 30}"
LEAK_BATCH_002,control_clean,2026-05-05,205,batches\LEAK_BATCH_002\intent.csv,batches\LEAK_BATCH_002\settlement_truth.xlsx,batches\LEAK_BATCH_002\settlement_replay.xlsx,0.00,0.00,0.00,0.00,0.00,"{""clean"": 123, ""clean_delay"": 51, ""ref_stress"": 31}"
LEAK_BATCH_003,control_clean,2026-05-06,191,batches\LEAK_BATCH_003\intent.csv,batches\LEAK_BATCH_003\settlement_truth.xlsx,batches\LEAK_BATCH_003\settlement_replay.xlsx,0.00,0.00,0.00,0.00,0.00,"{""clean"": 115, ""clean_delay"": 48, ""ref_stress"": 28}"
LEAK_BATCH_004,control_clean,2026-05-07,229,batches\LEAK_BATCH_004\intent.csv,batches\LEAK_BATCH_004\settlement_truth.xlsx,batches\LEAK_BATCH_004\settlement_replay.xlsx,0.00,0.00,0.00,0.00,0.00,"{""clean"": 137, ""clean_delay"": 57, ""ref_stress"": 35}"
LEAK_BATCH_005,unmatched_heavy,2026-05-08,204,batches\LEAK_BATCH_005\intent.csv,batches\LEAK_BATCH_005\settlement_truth.xlsx,batches\LEAK_BATCH_005\settlement_replay.xlsx,0.33,172173.46,172173.46,0.00,0.00,"{""clean"": 92, ""clean_delay"": 20, ""ref_stress"": 21, ""unmatched"": 71}"
LEAK_BATCH_006,unmatched_heavy,2026-05-09,240,batches\LEAK_BATCH_006\intent.csv,batches\LEAK_BATCH_006\settlement_truth.xlsx,batches\LEAK_BATCH_006\settlement_replay.xlsx,0.33,208325.64,208325.64,0.00,0.00,"{""clean"": 108, ""clean_delay"": 24, ""ref_stress"": 24, ""unmatched"": 84}"
LEAK_BATCH_007,unmatched_heavy,2026-05-10,216,batches\LEAK_BATCH_007\intent.csv,batches\LEAK_BATCH_007\settlement_truth.xlsx,batches\LEAK_BATCH_007\settlement_replay.xlsx,0.37,217191.94,217191.94,0.00,0.00,"{""clean"": 97, ""clean_delay"": 22, ""ref_stress"": 21, ""unmatched"": 76}"
LEAK_BATCH_008,unmatched_heavy,2026-05-11,203,batches\LEAK_BATCH_008\intent.csv,batches\LEAK_BATCH_008\settlement_truth.xlsx,batches\LEAK_BATCH_008\settlement_replay.xlsx,0.35,174859.66,174859.66,0.00,0.00,"{""clean"": 91, ""clean_delay"": 20, ""ref_stress"": 21, ""unmatched"": 71}"
LEAK_BATCH_009,under_heavy,2026-05-12,205,batches\LEAK_BATCH_009\intent.csv,batches\LEAK_BATCH_009\settlement_truth.xlsx,batches\LEAK_BATCH_009\settlement_replay.xlsx,0.05,27835.52,0.00,27835.52,0.00,"{""clean"": 92, ""clean_delay"": 20, ""ref_stress"": 21, ""under"": 70, ""under_ref_stress"": 2}"
LEAK_BATCH_010,under_heavy,2026-05-13,229,batches\LEAK_BATCH_010\intent.csv,batches\LEAK_BATCH_010\settlement_truth.xlsx,batches\LEAK_BATCH_010\settlement_replay.xlsx,0.05,33073.35,0.00,33073.35,0.00,"{""clean"": 103, ""clean_delay"": 23, ""ref_stress"": 23, ""under"": 79, ""under_ref_stress"": 1}"
